film,developer,dilution,iso,t35mm_min,t120_min,t_sheet_min,temp_c,mdc_row,source
Adox CHS 100,ABC Pyro,stock,100,6.0,6.0,6.0,20.0,,MassiveDevChart
Adox CHS 100,Acufine,stock,100,3.0,3.0,3.0,20.0,,MassiveDevChart
Adox CHS 100,Acufine,stock,250,3.25,3.25,3.25,20.0,,MassiveDevChart
Adox CHS 100,Acurol-N,1+50,50,9.5,9.5,9.5,20.0,9647,MassiveDevChart
Adox CHS 100,Amaloco AM74,1+15,100,7.5,7.5,7.5,20.0,,MassiveDevChart
Adox CHS 100,Atomal 49,1+1,100,12.0,12.0,12.0,20.0,,MassiveDevChart
Adox CHS 100,Atomal 49,1+2,100,15.0,15.0,15.0,20.0,,MassiveDevChart
Adox CHS 100,Atomal 49,stock,100,8.0,8.0,8.0,20.0,,MassiveDevChart
Adox CHS 100,BW-TNEG,stock,3,8.0,,,20.0,,MassiveDevChart
Adox CHS 100,D-76,1+1,100,10.0,10.0,10.0,20.0,,MassiveDevChart
Adox CHS 100,D-76,stock,100,7.0,7.0,7.0,20.0,,MassiveDevChart
Adox CHS 100,Eco Pro,1+2,64,8.5,8.5,8.5,20.0,,MassiveDevChart
Adox CHS 100,Eco Pro,1+2,80,11.75,11.75,11.75,20.0,,MassiveDevChart
Adox CHS 100,Eco Pro,stock,100,,,,20.0,,MassiveDevChart
Adox CHS 100,Emofin,stock,100,,,,20.0,,MassiveDevChart
Adox CHS 100,Emofin,stock,400,,,,20.0,5861,MassiveDevChart
Adox CHS 100,F76+,1+19,100,22.5,22.5,22.5,20.0,5736,MassiveDevChart
Adox CHS 100,F76+,1+4,64,12.0,12.0,12.0,20.0,,MassiveDevChart
Adox CHS 100,F76+,1+9,100,13.5,13.5,13.5,20.0,5735,MassiveDevChart
Adox CHS 100,Finol,1+1+100,80,13.5,13.5,13.5,24.0,,MassiveDevChart
Adox CHS 100,Fomadon LQN,1+10,100,9.0,9.0,9.0,20.0,,MassiveDevChart
Adox CHS 100,Fomadon R09,1+100,100,19.0,19.0,19.0,20.0,,MassiveDevChart
Adox CHS 100,Fomadon R09,1+50,100,9.5,9.5,9.5,20.0,,MassiveDevChart
Adox CHS 100,FX-39,1+14,100,11.0,11.0,11.0,20.0,5739,MassiveDevChart
Adox CHS 100,FX-39,1+9,100,7.0,7.0,7.0,20.0,5738,MassiveDevChart
Adox CHS 100,HC-110,B,100,5.5,5.5,6.0,20.0,5741,MassiveDevChart
Adox CHS 100,HC-110,B,100,6.25,6.25,6.25,18.0,5890,MassiveDevChart
Adox CHS 100,HC-110,H,100,11.0,11.0,11.0,20.0,5877,MassiveDevChart
Adox CHS 100,ID-11,1+1,100,10.0,10.0,10.0,20.0,,MassiveDevChart
Adox CHS 100,ID-11,stock,100,7.0,7.0,7.0,20.0,,MassiveDevChart
Adox CHS 100,Ilfosol 3,1+9,100,5.5,5.5,5.5,20.0,,MassiveDevChart
Adox CHS 100,Ilfotec DD-X,1+4,100,7.0,7.0,7.0,20.0,5864,MassiveDevChart
Adox CHS 100,Ilfotec DD-X,1+9,100,13.0,13.0,13.0,20.0,5865,MassiveDevChart
Adox CHS 100,Ilfotec LC29,1+29,100,11.0,11.0,11.0,20.0,,MassiveDevChart
Adox CHS 100,Microdol-X,1+3,100,17.0,17.0,17.0,25.0,,MassiveDevChart
Adox CHS 100,Microphen,1+3,100,18.0,18.0,18.0,21.0,,MassiveDevChart
Adox CHS 100,Neofin Blue,stock,100,15.0,15.0,15.0,20.0,5746,MassiveDevChart
Adox CHS 100,Neofin Blue,stock,100,8.0,8.0,8.0,20.0,5747,MassiveDevChart
Adox CHS 100,PC-TEA,1+50,100,10.5,10.5,10.5,20.0,5886,MassiveDevChart
Adox CHS 100,Perceptol,1+3,50,23.0,23.0,23.0,20.0,,MassiveDevChart
