developer,dilution,film,temp_c,t_min_minutes,t_max_minutes,notes
Foma Universal,1+3,Fomapan 100 Classic,20,5,5,
Fomadon Excel,Stock,Fomapan 100 Classic,20,5,6,
Fomadon LQN,1+10,Fomapan 100 Classic,20,7,8,
Fomadon LQN,1+14,Fomapan 100 Classic,20,9,10,
Fomadon LQR,1+10,Fomapan 100 Classic,20,5,6,
Fomadon LQR,1+14,Fomapan 100 Classic,20,7,8,
Fomadon P,Stock,Fomapan 100 Classic,20,7,8,
Fomadon R09,1+25,Fomapan 100 Classic,20,4,4,medium contrast g=0.65
Fomadon R09,1+50,Fomapan 100 Classic,20,9,9,medium contrast g=0.65
Fomadon R09,1+100,Fomapan 100 Classic,20,20,22,
Ilford ID-11,1+1,Fomapan 100 Classic,20,8,10,
Ilford ID-11,1+3,Fomapan 100 Classic,20,15,16,
Ilford ID-11 / Kodak D-76,Stock,Fomapan 100 Classic,20,6,7,
Ilford Ilfosol S,1+9,Fomapan 100 Classic,20,6,7,
Ilford Ilfosol S,1+14,Fomapan 100 Classic,20,7,8,
Ilford Microphen,Stock,Fomapan 100 Classic,20,5,7,
Ilford Microphen,1+1,Fomapan 100 Classic,20,8,9,
Ilford Microphen,1+3,Fomapan 100 Classic,20,13,14,
Ilford Perceptol,Stock,Fomapan 100 Classic,20,8,8,
Ilford Perceptol,1+1,Fomapan 100 Classic,20,10,11,
Ilford Perceptol,1+3,Fomapan 100 Classic,20,14,15,
Kodak T-MAX Developer,1+4,Fomapan 100 Classic,20,5,6,
Kodak XTOL,Stock,Fomapan 100 Classic,20,5,6,
Retro Special Developer,Stock,Fomapan 100 Classic,20,3,4,
Tetenal Emofin,Liquid,Fomapan 100 Classic,20,4,5,
Tetenal Emofin,Powder,Fomapan 100 Classic,20,4,6,
Tetenal Ultrafin Liquid,1+20,Fomapan 100 Classic,20,7.5,7.5,
Tetenal Ultrafin Plus,1+4,Fomapan 100 Classic,20,5,5,
Tetenal Ultrafin Plus,1+6,Fomapan 100 Classic,20,7.5,7.5,
