film,iso,dilution,temp_c,time_min,notes
Kentmere Pan 100,100,1+31,20,4.0,
Kentmere Pan 100,100,1+47,20,5.0,
Kentmere Pan 100,200,1+31,20,5.0,
Kentmere Pan 100,200,1+47,20,6.5,
Kentmere Pan 400,400,1+31,20,4.5,
Kentmere Pan 400,400,1+47,20,8.0,
Kentmere Pan 400,800,1+31,20,6.5,
Kentmere Pan 400,800,1+47,20,12.5,
Ilford Delta 100 Professional,50,1+11,24,0.92,
Ilford Delta 100 Professional,50,1+31,20,5.0,
Ilford Delta 100 Professional,50,1+47,20,5.5,
Ilford Delta 100 Professional,100,1+11,24,1.17,
Ilford Delta 100 Professional,100,1+31,20,6.0,
Ilford Delta 100 Professional,100,1+47,20,7.5,
Ilford Delta 100 Professional,200,1+11,24,1.83,
Ilford Delta 100 Professional,200,1+31,20,8.0,
Ilford Delta 100 Professional,200,1+47,20,10.0,
Ilford Delta 400 Professional,200,1+31,20,5.0,
Ilford Delta 400 Professional,200,1+47,20,8.5,
Ilford Delta 400 Professional,320,1+15,20,4.0,
Ilford Delta 400 Professional,400,1+31,20,7.5,
Ilford Delta 400 Professional,400,1+47,20,11.5,
Ilford Delta 400 Professional,800,1+15,20,5.5,
Ilford Delta 400 Professional,800,1+31,20,10.0,
Ilford Delta 400 Professional,800,1+47,20,17.0,
Ilford Delta 400 Professional,1600,1+15,20,7.5,
Ilford Delta 400 Professional,1600,1+31,20,13.5,
Ilford Delta 400 Professional,3200,1+15,20,13.0,
Ilford Delta 3200 Professional,400,1+31,20,6.0,
Ilford Delta 3200 Professional,800,1+31,20,7.5,
Ilford Delta 3200 Professional,1600,1+15,20,5.0,
Ilford Delta 3200 Professional,1600,1+31,20,9.0,
Ilford Delta 3200 Professional,3200,1+15,20,8.0,
Ilford Delta 3200 Professional,3200,1+31,20,14.5,
Ilford Delta 3200 Professional,6400,1+15,20,13.0,
Ilford Pan F Plus,25,1+11,24,0.83,
Ilford Pan F Plus,50,1+11,24,1.08,
Ilford Pan F Plus,50,1+31,20,4.0,
Ilford Pan F Plus,50,1+47,20,5.5,
Ilford FP4 Plus,50,1+31,20,6.0,
Ilford FP4 Plus,50,1+47,20,8.0,
Ilford FP4 Plus,125,1+11,24,1.17,
Ilford FP4 Plus,125,1+15,20,4.0,
Ilford FP4 Plus,125,1+31,20,8.0,
Ilford FP4 Plus,125,1+47,20,12.0,
Ilford FP4 Plus,200,1+15,20,5.0,
Ilford FP4 Plus,200,1+31,20,9.0,
Ilford HP5 Plus,400,1+11,24,0.92,
Ilford HP5 Plus,400,1+15,20,3.5,
Ilford HP5 Plus,400,1+31,20,6.5,
Ilford HP5 Plus,400,1+47,20,9.0,
Ilford HP5 Plus,800,1+11,24,1.17,
Ilford HP5 Plus,800,1+15,20,5.0,
Ilford HP5 Plus,800,1+31,20,9.5,
Ilford HP5 Plus,1600,1+11,24,1.5,
Ilford HP5 Plus,1600,1+15,20,7.5,
Ilford HP5 Plus,1600,1+31,20,14.0,
Ilford HP5 Plus,3200,1+11,24,2.17,
Ilford HP5 Plus,3200,1+15,20,11.0,
Ilford SFX 200,200,1+15,20,5.0,
Ilford SFX 200,200,1+31,20,9.0,
Ilford SFX 200,200,1+47,20,11.0,
Ilford SFX 200,400,1+15,20,7.0,
Ilford SFX 200,400,1+31,20,13.0,
Ilford SFX 200,800,1+15,20,10.5,
Ilford SFX 200,800,1+31,20,19.0,
Ilford Ortho Plus,80,1+15,20,4.0,contrast=Normal
Ilford Ortho Plus,80,1+31,20,6.0,contrast=Normal
Ilford Ortho Plus,80,1+15,20,5.0,contrast=High
Ilford Ortho Plus,80,1+31,20,8.0,contrast=High
Ilford Ortho Plus,40,1+15,20,4.0,contrast=Normal
Ilford Ortho Plus,40,1+31,20,6.0,contrast=Normal
Ilford Ortho Plus,40,1+15,20,5.0,contrast=High
Ilford Ortho Plus,40,1+31,20,8.0,contrast=High
