film,developer,iso,dilution,temp_c,time_min
Rollei RPX 100,ILFORD ID-11,100,1+1,20,12.0
Rollei RPX 100,ILFORD ID-11,100,1+3,20,21.0
Rollei RPX 100,ILFORD ID-11,100,Stock,20,9.0
Rollei RPX 100,ILFORD ID-11,200,1+1,20,15.5
Rollei RPX 100,ILFORD ID-11,200,Stock,20,11.0
Rollei RPX 100,ILFORD ILFOSOL 3,100,1+14,20,7.5
Rollei RPX 100,ILFORD ILFOSOL 3,100,1+9,20,5.0
Rollei RPX 100,ILFORD ILFOTEC DD-X,100,,20,9.0
Rollei RPX 100,ILFORD ILFOTEC DD-X,200,,20,11.0
Rollei RPX 100,ILFORD ILFOTEC DD-X,50,1+4,20,8.0
Rollei RPX 100,ILFORD ILFOTEC LC29,100,1+19,20,7.0
Rollei RPX 100,ILFORD ILFOTEC LC29,100,1+9,20,4.0
Rollei RPX 100,ILFORD ILFOTEC LC29,200,1+19,20,8.0
Rollei RPX 100,ILFORD ILFOTEC LC29,200,1+9,20,5.0
Rollei RPX 100,ILFORD ILFOTEC LC29,50,1+19,20,5.5
Rollei RPX 100,ILFORD MICROPHEN,100,1+1,20,11.0
Rollei RPX 100,ILFORD MICROPHEN,100,1+3,20,15.0
Rollei RPX 100,ILFORD MICROPHEN,100,Stock,20,9.0
Rollei RPX 100,ILFORD MICROPHEN,200,1+1,20,14.0
Rollei RPX 100,ILFORD MICROPHEN,200,Stock,20,9.0
Rollei RPX 100,ILFORD PERCEPTOL,100,1+1,20,16.0
Rollei RPX 100,ILFORD PERCEPTOL,100,Stock,20,13.0
Rollei RPX 100,ILFORD PERCEPTOL,50,1+1,20,13.5
Rollei RPX 100,ILFORD PERCEPTOL,50,Stock,20,9.5
Rollei RPX 100,Kodak D-76,100,1+1,20,12.0
Rollei RPX 100,Kodak D-76,100,1+3,20,21.0
Rollei RPX 100,Kodak D-76,100,Stock,20,9.0
Rollei RPX 100,Kodak D-76,200,1+1,20,15.5
Rollei RPX 100,Kodak D-76,200,Stock,20,11.0
Rollei RPX 100,Kodak D-76,50,1+1,20,8.5
Rollei RPX 100,Kodak D-76,50,1+3,20,17.5
Rollei RPX 100,Kodak D-76,50,Stock,20,7.0
Rollei RPX 100,Kodak HC-110,100,B(1+31),20,8.0
Rollei RPX 100,Kodak T-MAX,100,1+4,20,7.0
Rollei RPX 100,Kodak T-MAX,200,1+4,20,10.0
Rollei RPX 100,Kodak X-TOL,100,1+1,20,11.0
Rollei RPX 100,Kodak X-TOL,100,1+3,20,21.0
Rollei RPX 100,Kodak X-TOL,100,Stock,20,8.0
Rollei RPX 100,Kodak X-TOL,200,1+1,20,15.5
Rollei RPX 100,Kodak X-TOL,200,Stock,20,11.0
Rollei RPX 100,Kodak X-TOL,50,1+1,20,8.5
Rollei RPX 100,Kodak X-TOL,50,1+3,20,17.5
Rollei RPX 100,Kodak X-TOL,50,Stock,20,7.0
Rollei RPX 100,Paterson FX-39,100,1+9,20,8.0
Rollei RPX 100,R09 Spezial/Studio,100,1+15,20,4.0
Rollei RPX 100,R09 Spezial/Studio,100,1+31,20,4.0
Rollei RPX 100,R09/Rodinal,100,1+25,20,9.0
Rollei RPX 100,R09/Rodinal,100,1+50,20,16.0
Rollei RPX 100,Rollei RLS,100,1+4,24,16.0
Rollei RPX 100,Rollei Supergrain,100,1+12,20,6.5
Rollei RPX 100,Rollei Supergrain,100,1+15,20,7.5
Rollei RPX 100,Rollei Supergrain,100,1+9,20,5.5
Rollei RPX 100,Rollei Supergrain,200,1+7,20,8.0
Rollei RPX 100,SPUR Acurol,64,1+70,20,10.0
Rollei RPX 100,SPUR HRX,64,1+20,20,9.5
Rollei RPX 100,Tetenal Neofin Blau,100,1+9,20,14.5
Rollei RPX 100,Tetenal Ultrafin Plus,100,1+4,20,8.0
Rollei RPX 25,ILFORD ID-11,25,1+1,20,8.0
Rollei RPX 25,ILFORD ILFOSOL,25,1+19,20,5.0
Rollei RPX 25,ILFORD PERCEPTOL,25,1+1,20,10.0
Rollei RPX 25,Kodak D-76,25,1+1,20,8.0
Rollei RPX 25,Kodak HC-110,25,B(1+31),20,5.0
Rollei RPX 25,Kodak X-TOL,25,1+1,20,8.0
Rollei RPX 25,Paterson FX-39,25,1+9,20,8.0
Rollei RPX 25,R09 Spezial/Studio,25,1+15,20,5.5
Rollei RPX 25,R09 Spezial/Studio,25,1+31,20,7.0
Rollei RPX 25,R09/Rodinal,25,1+25,20,6.0
Rollei RPX 25,R09/Rodinal,25,1+50,20,11.0
