film,developer,dilution,iso,inversion_20c_min,rotary_20c_min_0.85,rotary_20c_min_0.90
Adox CHS 100,ABC Pyro,stock,100,6.0,5.1,5.4
Adox CHS 100,Acufine,stock,100,3.0,2.55,2.7
Adox CHS 100,Acufine,stock,250,3.25,2.76,2.93
Adox CHS 100,Acurol-N,1+50,50,9.5,8.07,8.55
Adox CHS 100,Amaloco AM74,1+15,100,7.5,6.38,6.75
Adox CHS 100,Atomal 49,1+1,100,12.0,10.2,10.8
Adox CHS 100,Atomal 49,1+2,100,15.0,12.75,13.5
Adox CHS 100,Atomal 49,stock,100,8.0,6.8,7.2
Adox CHS 100,BW-TNEG,stock,3,8.0,6.8,7.2
Adox CHS 100,D-76,1+1,100,10.0,8.5,9.0
Adox CHS 100,D-76,stock,100,7.0,5.95,6.3
Adox CHS 100,Eco Pro,1+2,64,8.5,7.22,7.65
Adox CHS 100,Eco Pro,1+2,80,11.75,9.99,10.58
Adox CHS 100,F76+,1+19,100,22.5,19.12,20.25
Adox CHS 100,F76+,1+4,64,12.0,10.2,10.8
Adox CHS 100,F76+,1+9,100,13.5,11.47,12.15
Adox CHS 100,Fomadon LQN,1+10,100,9.0,7.65,8.1
Adox CHS 100,Fomadon R09,1+100,100,19.0,16.15,17.1
Adox CHS 100,Fomadon R09,1+50,100,9.5,8.07,8.55
Adox CHS 100,FX-39,1+14,100,11.0,9.35,9.9
Adox CHS 100,FX-39,1+9,100,7.0,5.95,6.3
Adox CHS 100,HC-110,B,100,5.5,4.67,4.95
Adox CHS 100,HC-110,H,100,11.0,9.35,9.9
Adox CHS 100,ID-11,1+1,100,10.0,8.5,9.0
Adox CHS 100,ID-11,stock,100,7.0,5.95,6.3
Adox CHS 100,Ilfosol 3,1+9,100,5.5,4.67,4.95
Adox CHS 100,Ilfotec DD-X,1+4,100,7.0,5.95,6.3
Adox CHS 100,Ilfotec DD-X,1+9,100,13.0,11.05,11.7
Adox CHS 100,Ilfotec LC29,1+29,100,11.0,9.35,9.9
Adox CHS 100,Neofin Blue,stock,100,15.0,12.75,13.5
Adox CHS 100,Neofin Blue,stock,100,8.0,6.8,7.2
Adox CHS 100,PC-TEA,1+50,100,10.5,8.92,9.45
Adox CHS 100,Perceptol,1+3,50,23.0,19.55,20.7
Adox CHS 100,PMK,1+2+100,100,10.0,8.5,9.0
Adox CHS 100,Pyrocat-HD,2+2+100,100,8.0,6.8,7.2
Adox CHS 100,Rodinal,1+100,100,16.0,13.6,14.4
Adox CHS 100,Rodinal,1+25,100,6.0,5.1,5.4
Adox CHS 100,Rodinal,1+25,160,8.0,6.8,7.2
Adox CHS 100,Rodinal,1+25,80,5.0,4.25,4.5
Adox CHS 100,Rodinal,1+50,100,10.0,8.5,9.0
Adox CHS 100,Rodinal,1+50,200,14.0,11.9,12.6
Adox CHS 100,Rodinal,1+50,400,24.0,20.4,21.6
Adox CHS 100,Rodinal,1+50,50,9.0,7.65,8.1
Adox CHS 100,Silberra Ascorol,1+29,100,7.0,5.95,6.3
Adox CHS 100,Sprint Standard,1+9,100,10.0,8.5,9.0
Adox CHS 100,Tanol,2+3+130,100,12.0,10.2,10.8
Adox CHS 100,TMax Dev,1+4,100,7.0,5.95,6.3
Adox CHS 100,TMax RS,stock,100,6.0,5.1,5.4
Adox CHS 100,TMax RS,stock,80,4.0,3.4,3.6
Adox CHS 100,Ultrafin,1+10,100,3.5,2.98,3.15
Adox CHS 100,Ultrafin,1+20,100,5.0,4.25,4.5
Adox CHS 100,Ultrafin,1+30,100,7.0,5.95,6.3
